wolf_ID,capture_date,collar_recovery_death,end_date,Month,Day,Year,last_contact,days_to_inact,days_to_death,days_to_fate,fate,fate_num,Anthro_Natural,min_days_inact_death,collar_status,dissap_event,cause_death,poached,unknown,legal,nonhuman,collision,poa_type,known_fate,death_event,FU_poached,FU_Unk_poa,hunt_season,sex,breeder_disp,age_at_death_year,age_at_death_days,age_at_dissap,age_at_collar,collar expected to quit,wolf_year,Comments
10332,25-Jan-89,21-Nov-89,21-Nov-89,11,21,1989,,,300,300,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,M,,1.58630137,579,,,,1989-90,
10344,16-Apr-89,,21-Nov-95,11,21,1995,21-Nov-95,2410,,2410,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,1,F,2,,,2912,,,1995-96,
10351,10-Nov-88,24-Jan-91,24-Jan-91,1,24,1991,,,805,805,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,1,F,,2.742465753,1001,,,,1990-91,
10352,13-Aug-91,15-Sep-91,15-Sep-91,9,15,1991,,,33,33,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,M,,2.419178082,883,,,,1990-91,
10358,15-Dec-93,12-Oct-94,12-Oct-94,10,12,1994,,,301,301,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,1,M,,5.457534247,1992,,,,1994-95,
10372,3-Aug-92,1-May-94,1-May-94,5,1,1994,,,636,636,legal,5,1,,,0,legal,0,0,1,0,0,,1,1,,,0,M,,4.912328767,1793,,,,1993-94,
10375,5-Jan-94,9-Nov-94,9-Nov-94,11,9,1994,,,308,308,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,1,M,,5.515068493,2013,,,,1994-95,
10377,15-Dec-93,1-Jan-94,1-Jan-94,1,1,1994,,,17,17,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,F,,4.660273973,1701,,,,1993-94,
10379,5-Jan-94,5-Nov-95,5-Nov-95,11,5,1995,,,669,669,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,1,F,,6.482191781,2366,,,,1995-96,
10382,3-Aug-92,,19-Feb-98,2,19,1998,19-Feb-98,2026,,2026,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,0,F,2,,,3203,,,1997-98,
